Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Mitkūnai,1611,Plikiškiai–Kriukai,15,2023-11-15,09:00:38,negative,1,91.4,normal,positive,3,91.23,normal
Rokiškis,122,Daugpilis–Rokiškis–Panevėžys,15,2023-11-15,09:01:09,negative,24,89.89,normal,positive,15,84.4,normal
Paprėniškiai,115,Ukmergė–Molėtai,15,2023-11-15,09:01:08,positive,26,84.83,normal,negative,22,85.97,normal
Pikelionys,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:00,negative,27,82.58,normal,positive,18,85.84,normal
Sriauptai,218,Kretinga–Skuodas,16,2023-11-15,09:02:27,positive,7,86.27,normal,negative,6,83.98,normal
Tartokas 2,A15,Vilnius–Lyda,15,2023-11-15,09:01:09,positive,10,62.82,slow,negative,8,57.46,slow
Liminėlis,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:09,positive,22,92.4,normal,negative,12,89.54,normal
Gibaičiai,4015,Naisiai–Gibaičiai–Meškuičiai,15,2023-11-15,09:00:38,positive,2,80.75,normal,negative,4,73.35,normal
Barčiai,127,Babriškės–Varėna–Eišiškės,15,2023-11-15,09:01:24,positive,17,81.96,normal,negative,13,83.43,normal
WIM į Vilnių,A1,Vilnius–Kaunas–Klaipėda,3,2022-04-06,14:16:27,,0,0.0,0,,0,0.0,0
Raistas,2012,Šėta–Beinaičiai–Nociūnai,15,2023-11-15,09:00:37,positive,0,,normal,negative,3,41.27,slow
Giraitė,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,375,93.98,normal,positive,234,96.35,normal
Puskelniai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,negative,195,85.99,normal,positive,179,92.23,normal
Eičiai,147,Tauragė–Pašventys,15,2023-11-15,09:01:38,negative,12,81.71,normal,positive,13,91.08,normal
Mokolai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Pūkiai,3014,Gegužinė–Puodžiūnai–Sereikoniai,15,2023-11-15,09:00:00,negative,1,49.1,slow,positive,2,39.45,slow
Mikailiškis,116,Širvintos–Rimučiai–Kernavė–Dūkštos,15,2023-11-15,09:01:24,negative,13,87.27,normal,positive,12,89.65,normal
