Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Biruliškės 1,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,313,94.34,heavy,negative,554,96.33,heavy
Jaščiūnai,A15,Vilnius–Lyda,15,2023-11-15,09:01:09,negative,42,83.86,normal,positive,45,80.06,heavy
Viksviniai,1201,Anykščiai–Kurkliai–Balninkai–Želva,15,2023-11-15,09:00:03,positive,2,80.95,normal,negative,1,86.5,normal
Lančiūnava,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-15,09:00:00,negative,42,84.55,normal,positive,53,86.79,normal
Repšiai,A11,Šiauliai–Palanga,15,2023-11-15,09:00:00,negative,58,91.18,normal,positive,88,93.64,normal
Baubliai,4818,Rečionys–Obeliai,15,2023-11-15,09:00:00,negative,2,58.55,heavy,positive,4,60.58,heavy
Alkupis,4102,Laukuva–Žadeikiai–Kvėdarna,15,2023-11-15,09:00:27,negative,2,45.5,slow,positive,2,43.5,slow
Onupis,1922,Raudondvaris–Naujieji Bernatoniai–Žemaitkiemis,15,2023-11-15,09:00:51,negative,8,84.76,normal,positive,0,,normal
Virinta,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:08,negative,22,76.27,heavy,positive,23,73.19,heavy
Dobrovolė,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,101,78.08,heavy,negative,95,80.84,normal
Kemetiškiai,114,Molėtai–Kaltanėnai–Ignalina,15,2023-11-15,09:01:13,negative,12,74.35,heavy,positive,7,67.91,heavy
Vydmantai,A13,Klaipėda–Liepoja,10,2023-11-15,09:10:00,positive,55,82.53,normal,negative,27,91.16,normal
Vynupė,A17,Panevėžio aplinkkelis,15,2023-11-15,09:00:00,positive,78,82.94,normal,negative,119,87.59,normal
Gargždai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,141,100.89,normal,negative,144,90.13,slow
Ežeraitis,A2,Vilnius–Panevėžys,15,2023-11-15,09:01:12,positive,172,106.71,heavy,negative,153,101.97,normal
Upyna,4107,Upyna–Pagrybis–Kaltinėnai,15,2023-11-15,09:00:42,negative,2,61.1,normal,positive,0,,normal
Dauparai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,negative,190,102.19,heavy,positive,276,103.05,heavy
Ąžulomis,A15,Vilnius–Lyda,15,2023-11-15,09:00:43,negative,44,70.01,heavy,positive,56,68.03,heavy
Pumpėnai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,positive,64,81.32,heavy,negative,67,80.37,heavy
Kiškoniai,2126,Pavydai–Pagryžuvys–Tytuvėnėliai,15,2023-11-15,09:00:36,positive,2,46.6,slow,negative,0,,normal
Stirniai,114,Molėtai–Kaltanėnai–Ignalina,15,2023-11-15,09:01:31,positive,4,56.8,normal,negative,2,74.85,normal
Žilpamūšis,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,positive,30,86.33,normal,negative,21,85.83,normal
Prūsiškiai,3302,Išlaužas–Klebiškis–Igliauka,15,2023-11-15,09:00:00,negative,1,62.5,heavy,positive,0,,normal
Pagryniai,4239,Šlažai–Pagryniai,15,2023-11-15,09:00:39,positive,0,,normal,negative,5,60.22,heavy
Suginčiai,4903,Utena–Pakalniai–Alanta,15,2023-11-15,09:00:03,negative,1,104.0,normal,positive,2,69.8,normal
Dybakalnis,2637,Privažiuojamasis kelias prie Patašinės nuo kelio Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Tauzai,169,Skuodas–Plungė,15,2023-11-15,09:01:41,negative,14,94.62,normal,positive,12,98.41,normal
Dautartai,225,Raseiniai–Baisogala,15,2023-11-15,09:00:42,positive,12,88.73,normal,negative,17,87.92,normal
Paupynis,1703,Eržvilkas–Mosteikiai–Nemakščiai,15,2023-11-15,09:00:42,negative,0,,normal,positive,0,,normal
WIM į Klaipėdą,A1,Vilnius–Kaunas–Klaipėda,2,2022-04-06,12:25:10,,0,0.0,0,,0,0.0,0
Paliesius,1408,Mikalavas–Paringys–Bernotai–Gilūtos,15,2023-11-15,09:00:00,negative,1,54.4,heavy,positive,1,77.8,heavy
Smėlynė,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:09,positive,8,48.3,normal,negative,10,62.25,slow
Maksimonys,112,Ignalina–Didžiasalis,15,2023-11-15,09:01:30,positive,7,75.69,heavy,negative,10,90.69,normal
Skaidiškės,A3,Vilnius–Minskas,15,2023-11-15,09:00:00,positive,30,81.07,normal,negative,34,86.63,normal
Duliai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:09,positive,22,72.23,heavy,negative,0,,normal
Kalibatas,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:00:39,positive,34,85.35,heavy,negative,43,77.86,heavy
Kupsčiai,3520,Ilgižiai–Kupsčiai,15,2023-11-15,09:01:16,,0,0.0,0,,0,0.0,0
Ricieliai,2521,Stračiūnai–Ricieliai–Gailiūnai,15,2023-11-15,09:00:00,negative,1,76.2,normal,positive,1,54.4,normal
Bliuviškiai,137,Pilviškiai–Šakiai–Jurbarkas,15,2023-11-15,09:01:21,negative,13,92.64,normal,positive,27,87.7,normal
Narezkai,214,Trakai–Senieji Trakai,15,2023-11-15,09:01:38,negative,28,67.14,normal,positive,22,62.31,normal
Šniūraičiai,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:00,negative,100,93.83,heavy,positive,69,93.18,heavy
Viburiai,3009,Nauradai–Sujetai–Sinkonys,15,2023-11-15,09:00:00,positive,0,,normal,negative,0,,normal
Juknonys,1831,Pakertai–Juknionys,15,2023-11-15,09:00:29,positive,0,,normal,negative,0,,normal
Užubaliai,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:00,negative,465,78.52,normal,positive,248,74.44,heavy
Vileikiai,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:40,negative,118,101.67,normal,positive,113,91.89,heavy
Senkiškiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-15,09:00:40,positive,71,83.22,heavy,negative,66,80.23,heavy
Antakalnis I,A2,Vilnius–Panevėžys,15,2023-11-15,09:00:44,positive,94,108.19,heavy,negative,111,101.21,heavy
Gaudikaičiai,A11,Šiauliai–Palanga,15,2023-11-15,09:01:12,positive,55,66.38,normal,negative,58,63.83,normal
Avietinė,104,Šalčininkai–Dieveniškės–Krakūnai ,15,2023-11-15,09:00:43,negative,3,78.37,heavy,positive,1,76.7,heavy
Grygališkė,165,Šilalė–Šilutė,15,2023-11-15,09:01:38,negative,15,93.94,normal,positive,18,84.42,normal
Karmazinai,108,Vievis–Maišiagala–Nemenčinė,15,2023-11-15,09:00:41,negative,37,91.11,normal,positive,22,95.54,normal
Algeniai,3515,Algeniai–Stulgiai–Kirkliai,15,2023-11-15,09:00:23,negative,0,,normal,positive,3,67.2,normal
Knitiškiai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-15,09:01:08,positive,34,88.37,normal,negative,30,95.47,normal
Parudaminys,5228,Parudaminys–Rakonys–Tumosai,15,2023-11-15,09:00:00,positive,2,86.8,normal,negative,0,,normal
Eišiškės,105,Pirčiupiai–Eišiškės,15,2023-11-15,09:00:37,negative,0,,normal,positive,2,49.25,slow
Gaidėnai,4108,Upyna–Varsėdžiai–Naujasis Obelynas,15,2023-11-15,09:00:28,positive,348,56.28,heavy,negative,573,76.48,normal
Gribžiniai,216,Gargždai–Kretinga,15,2023-11-15,09:01:41,negative,39,78.69,heavy,positive,36,80.48,heavy
Senasis Tarpupis,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,68,83.74,normal,negative,61,86.03,normal
Jurgėnai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-15,09:00:00,positive,50,84.86,normal,negative,76,85.29,normal
Bingeliai,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,negative,20,90.29,normal,positive,42,87.7,normal
Karašilis,2911,Karašilis–Derveliai–Alksniupiai–Šeduva,15,2023-11-15,09:01:16,,0,0.0,0,,0,0.0,0
Molainiai,A17,Panevėžio aplinkkelis,15,2023-11-15,09:00:00,negative,29,79.0,heavy,positive,101,72.0,heavy
Didžiulio ež.,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,274,96.59,normal,negative,317,97.99,normal
Čerbai,1702,Šimkaičiai–Stakiai–Graužėnai,15,2023-11-15,09:00:33,negative,4,65.78,normal,positive,0,,normal
Kvėdarna,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-15,09:00:00,positive,83,87.26,slow,negative,82,107.04,heavy
Pavartyčiai,A9,Panevėžys–Šiauliai,15,2023-11-15,09:00:06,negative,75,88.25,normal,positive,67,89.76,normal
Kanciškiai,5243,Karklinė–Unėniškės,15,2023-11-15,09:00:00,positive,0,,normal,negative,1,61.0,heavy
Žvirgždėnai,A16,Vilnius–Prienai–Marijampolė,15,2023-11-15,09:00:41,negative,34,86.41,normal,positive,36,86.95,normal
Garliava,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-15,09:00:00,positive,182,89.77,normal,negative,206,84.41,normal
Miškonys,102,Vilnius–Švenčionys–Zarasai,15,2023-11-15,09:01:23,negative,87,74.4,normal,positive,95,68.84,normal
Vievis,A1,Vilnius–Kaunas–Klaipėda,16,2023-11-15,09:02:35,positive,362,80.25,slow,negative,1,63.4,slow
Kieliūgala,3011,Raguva–Šilai–Mikėnai,15,2023-11-15,09:00:00,negative,0,,normal,positive,0,,normal
Jiesia,130,Kaunas–Prienai–Alytus,15,2023-11-15,09:00:50,negative,89,69.91,normal,positive,68,70.5,normal
Dvarčiškiai,3808,Slavikai–Sudargas,15,2023-11-15,09:00:19,negative,0,,normal,positive,0,,normal
Naujieji Valkininkai,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,negative,48,58.52,normal,positive,45,56.99,normal
Meiliškiai,2016,Mantviliškis–Ažytėnai–Vosyliškis,15,2023-11-15,09:00:39,negative,0,,normal,positive,0,,normal
Rūdėniškės,113,Dūkštas–Visaginas,15,2023-11-15,09:01:30,negative,7,90.43,normal,positive,0,,normal
Ščebnica,142,Kaišiadorys–Žiežmariai,15,2023-11-15,09:01:23,negative,70,59.51,slow,positive,56,60.65,slow
Karpiškiai,A4,Vilnius–Varėna–Gardinas,15,2023-11-15,09:00:00,positive,28,89.79,normal,negative,18,94.95,normal
Praščiūnai,3406,Šeduvos g. st.–Vadaktai–Krekenava,15,2023-11-15,09:01:14,,0,0.0,0,,0,0.0,0
Pagojys I,4512,Skaudvilė–Adakavas–Nemakščiai,15,2023-11-15,09:00:39,negative,1,65.2,normal,positive,0,,normal
Mikiškiai,192,Skapiškis–Pandėlys,15,2023-11-15,09:01:10,positive,6,78.97,heavy,negative,7,85.07,normal
Daubariai,204,Mažeikių aplinkkelis,15,2023-11-15,09:01:41,negative,24,78.45,heavy,positive,16,70.69,heavy
Žvirzdaliai,3206,Plungė–Medingėnai,15,2023-11-15,09:00:21,positive,5,85.32,normal,negative,2,75.15,normal
