,Administracinė teritorija,Reikšmė
0,Vilniaus apskritis,658
1,Kauno apskritis,522
2,Klaipėdos apskritis,248
3,Panevėžio apskritis,231
4,Šiaulių apskritis,194
5,Marijampolės apskritis,91
6,Telšių apskritis,85
7,Alytaus apskritis,78
8,Utenos apskritis,72
9,Tauragės apskritis,62
