roadNr,roadSegments,date
A7,"[{'direction': 'negative', 'startX': 431026.16, 'startY': 6055879.5, 'endX': 424325.9, 'endY': 6054875.34, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 26, 'averageSpeed': 80.6, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 431026.16, 'startY': 6055879.5, 'endX': 424325.9, 'endY': 6054875.34, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 15, 'averageSpeed': 75.88, 'trafficType': 'normal'}]",2023-11-12T15:01:00.000+0000
148,"[{'direction': 'positive', 'startX': 461836.55, 'startY': 6172067.72, 'endX': 461878.39, 'endY': 6172055.75, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 14, 'averageSpeed': 81.95, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 449423.34, 'startY': 6162711.47, 'endX': 461836.55, 'endY': 6172067.72, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 14, 'averageSpeed': 87.81, 'trafficType': 'normal'}]",2023-11-12T15:01:30.000+0000
114,"[{'direction': 'negative', 'startX': 590886.12, 'startY': 6123136.55, 'endX': 592192.39, 'endY': 6123070.49, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 11, 'averageSpeed': 64.44, 'trafficType': 'slow'}, {'direction': 'positive', 'startX': 590886.12, 'startY': 6123136.55, 'endX': 592271.21, 'endY': 6123078.92, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 9, 'averageSpeed': 68.11, 'trafficType': 'normal'}]",2023-11-12T15:01:19.000+0000
113,"[{'direction': 'positive', 'startX': 647208.96, 'startY': 6158616.03, 'endX': 654739.77, 'endY': 6164854.2, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 647208.96, 'startY': 6158616.03, 'endX': 654800, 'endY': 6164799.93, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 6, 'averageSpeed': 68.42, 'trafficType': 'heavy'}]",2023-11-12T15:01:26.000+0000
A16,"[{'direction': 'positive', 'startX': 495332.99, 'startY': 6054248.11, 'endX': 477387.05, 'endY': 6047118.47, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 18, 'averageSpeed': 69.76, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 495332.99, 'startY': 6054248.11, 'endX': 477387.05, 'endY': 6047118.47, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 29, 'averageSpeed': 64.69, 'trafficType': 'slow'}]",2023-11-12T15:00:00.000+0000
A4,"[{'direction': 'negative', 'startX': 504962.01, 'startY': 5988429.96, 'endX': 501725.64, 'endY': 5985585.2, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 26, 'averageSpeed': 73.2, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 504962.01, 'startY': 5988429.96, 'endX': 501725.64, 'endY': 5985585.2, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 30, 'averageSpeed': 61.55, 'trafficType': 'slow'}]",2023-11-12T15:00:00.000+0000
4226,"[{'direction': 'negative', 'startX': 365723, 'startY': 6124627.75, 'endX': 369371.5, 'endY': 6123891.5, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 2, 'averageSpeed': 55.5, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 365723, 'startY': 6124627.75, 'endX': 369371.5, 'endY': 6123891.5, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 38.2, 'trafficType': 'slow'}]",2023-11-12T15:00:27.000+0000
5107,"[{'direction': 'positive', 'startX': 438929.65, 'startY': 6052364.62, 'endX': 440254.58, 'endY': 6047371.36, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 438929.65, 'startY': 6052364.62, 'endX': 440254.58, 'endY': 6047371.36, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 7, 'averageSpeed': 88.61, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
147,"[{'direction': 'positive', 'startX': 396522.96, 'startY': 6121974.42, 'endX': 411139.14, 'endY': 6106081.66, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 12, 'averageSpeed': 81.68, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 396522.96, 'startY': 6121974.42, 'endX': 411145.66, 'endY': 6106135.38, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 10, 'averageSpeed': 83.83, 'trafficType': 'normal'}]",2023-11-12T15:01:30.000+0000
A4,"[{'direction': 'negative', 'startX': 501725.64, 'startY': 5985585.2, 'endX': 500507.54, 'endY': 5983313.34, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 1, 'averageSpeed': 78.8, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 501725.64, 'startY': 5985585.2, 'endX': 500507.54, 'endY': 5983313.34, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 8, 'averageSpeed': 67.4, 'trafficType': 'slow'}]",2023-11-12T15:00:00.000+0000
A11,"[{'direction': 'negative', 'startX': 453055.01, 'startY': 6202778.29, 'endX': 437309.33, 'endY': 6207586.02, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 86, 'averageSpeed': 92.65, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 453063.33, 'startY': 6202790.6, 'endX': 437300.39, 'endY': 6207613.51, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 47, 'averageSpeed': 93.03, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
2126,"[{'direction': 'positive', 'startX': 445639.06, 'startY': 6164121.19, 'endX': 447871.39, 'endY': 6165436.69, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 445639.06, 'startY': 6164121.19, 'endX': 447871.39, 'endY': 6165436.69, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 54.9, 'trafficType': 'heavy'}]",2023-11-12T15:00:26.000+0000
A16,"[{'direction': 'positive', 'startX': 558302.3, 'startY': 6054004.64, 'endX': 534033.28, 'endY': 6049290.79, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 22, 'averageSpeed': 82.74, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 558302.3, 'startY': 6054004.64, 'endX': 534033.28, 'endY': 6049290.79, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 58, 'averageSpeed': 79.48, 'trafficType': 'heavy'}]",2023-11-12T15:00:05.000+0000
116,"[{'direction': 'positive', 'startX': 558328.3, 'startY': 6098123.59, 'endX': 560222.6, 'endY': 6078546.5, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 11, 'averageSpeed': 82.52, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 558328.3, 'startY': 6098123.59, 'endX': 560208.54, 'endY': 6078565.02, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 12, 'averageSpeed': 82.8, 'trafficType': 'normal'}]",2023-11-12T15:01:25.000+0000
A1,"[{'direction': 'negative', 'startX': 569808.49, 'startY': 6060512.68, 'endX': 563690.78, 'endY': 6064290.05, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 424, 'averageSpeed': 95.66, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 569812.67, 'startY': 6060522.63, 'endX': 563697.77, 'endY': 6064300.02, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 221, 'averageSpeed': 101.18, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
1702,"[{'direction': 'negative', 'startX': 441324.89, 'startY': 6116789.95, 'endX': 444036.63, 'endY': 6115354.08, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 441324.89, 'startY': 6116789.95, 'endX': 444036.63, 'endY': 6115354.08, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 2, 'averageSpeed': 40.85, 'trafficType': 'slow'}]",2023-11-12T15:00:26.000+0000
A2,"[{'direction': 'positive', 'startX': 551534.8, 'startY': 6126404.82, 'endX': 550465.06, 'endY': 6129943.25, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 198, 'averageSpeed': 83.42, 'trafficType': 'slow'}, {'direction': 'negative', 'startX': 551515.96, 'startY': 6126399.48, 'endX': 550447.1, 'endY': 6129935.47, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:01:21.000+0000
127,"[{'direction': 'negative', 'startX': 538568.89, 'startY': 6008605.66, 'endX': 555409.28, 'endY': 6006842.09, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 11, 'averageSpeed': 93.64, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 538568.89, 'startY': 6008605.66, 'endX': 555409.28, 'endY': 6006842.09, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 12, 'averageSpeed': 84.05, 'trafficType': 'normal'}]",2023-11-12T15:01:25.000+0000
3707,"[{'direction': 'negative', 'startX': 347209.23, 'startY': 6236724.93, 'endX': 345069.8, 'endY': 6234045.05, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 347209.23, 'startY': 6236724.93, 'endX': 345069.8, 'endY': 6234045.05, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:09.000+0000
4526,"[{'direction': 'positive', 'startX': 382282.96, 'startY': 6120286.07, 'endX': 380769.07, 'endY': 6120881.45, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 68, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 382282.96, 'startY': 6120286.07, 'endX': 380769.07, 'endY': 6120881.45, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:28.000+0000
A19,"[{'direction': 'negative', 'startX': 574393.98, 'startY': 6055742.66, 'endX': 577555.82, 'endY': 6052221.79, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 76, 'averageSpeed': 89.62, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 574382.72, 'startY': 6055752.97, 'endX': 577555.82, 'endY': 6052221.79, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 84, 'averageSpeed': 88.96, 'trafficType': 'normal'}]",2023-11-12T15:01:20.000+0000
1709,"[{'direction': 'positive', 'startX': 454759.63, 'startY': 6126998.63, 'endX': 454457.13, 'endY': 6128255.52, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 454759.63, 'startY': 6126998.63, 'endX': 454457.13, 'endY': 6128255.52, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 28.2, 'trafficType': 'slow'}]",2023-11-12T15:00:24.000+0000
3014,"[{'direction': 'positive', 'startX': 521901.28, 'startY': 6191337.12, 'endX': 525093.82, 'endY': 6193538.02, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 521901.28, 'startY': 6191337.12, 'endX': 525093.82, 'endY': 6193538.02, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 47.7, 'trafficType': 'slow'}]",2023-11-12T15:00:00.000+0000
169,"[{'direction': 'positive', 'startX': 347072.37, 'startY': 6240218.22, 'endX': 349350.27, 'endY': 6217016.73, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 13, 'averageSpeed': 99.63, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 347072.37, 'startY': 6240218.22, 'endX': 349350.27, 'endY': 6217016.73, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 10, 'averageSpeed': 90.7, 'trafficType': 'normal'}]",2023-11-12T15:01:31.000+0000
216,"[{'direction': 'negative', 'startX': 335717.82, 'startY': 6178472.16, 'endX': 333590.27, 'endY': 6191515.76, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 47, 'averageSpeed': 77.7, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 335717.82, 'startY': 6178472.16, 'endX': 333590.27, 'endY': 6191515.76, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 32, 'averageSpeed': 84.95, 'trafficType': 'heavy'}]",2023-11-12T15:01:31.000+0000
A5,"[{'direction': 'negative', 'startX': 454570, 'startY': 6048717.24, 'endX': 448651.64, 'endY': 6028256.43, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 21, 'averageSpeed': 83.54, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 454570, 'startY': 6048717.24, 'endX': 448651.64, 'endY': 6028256.43, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 18, 'averageSpeed': 81.99, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
4107,"[{'direction': 'negative', 'startX': 401479.63, 'startY': 6147181.25, 'endX': 401420.63, 'endY': 6148041.2, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 401479.63, 'startY': 6147181.25, 'endX': 401420.63, 'endY': 6148041.2, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:54.000+0000
A9,"[{'direction': 'negative', 'startX': 504993.03, 'startY': 6180974.8, 'endX': 500379.78, 'endY': 6185017.7, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 79, 'averageSpeed': 88.21, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 504993.03, 'startY': 6180974.8, 'endX': 500379.78, 'endY': 6185017.7, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 46, 'averageSpeed': 80.07, 'trafficType': 'heavy'}]",2023-11-12T15:00:44.000+0000
1703,"[{'direction': 'positive', 'startX': 419935.07, 'startY': 6135979.52, 'endX': 419957.5, 'endY': 6139331.86, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 79.7, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 419935.07, 'startY': 6135979.52, 'endX': 419957.5, 'endY': 6139331.86, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:54.000+0000
A1,"[{'direction': 'negative', 'startX': 563690.78, 'startY': 6064290.05, 'endX': 554364.26, 'endY': 6070391.74, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 563697.77, 'startY': 6064300.02, 'endX': 554369.27, 'endY': 6070403.13, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 401, 'averageSpeed': 77.77, 'trafficType': 'slow'}]",2023-11-12T15:02:04.000+0000
A6,"[{'direction': 'positive', 'startX': 556457.24, 'startY': 6133575.31, 'endX': 568146.12, 'endY': 6140412.7, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 20, 'averageSpeed': 89.86, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 556457.24, 'startY': 6133575.31, 'endX': 568146.12, 'endY': 6140412.7, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 50, 'averageSpeed': 92.72, 'trafficType': 'normal'}]",2023-11-12T15:01:13.000+0000
A6,"[{'direction': 'positive', 'startX': 643082.22, 'startY': 6180548.21, 'endX': 644894.38, 'endY': 6181259.28, 'winterSpeed': 50, 'summerSpeed': 50, 'numberOfVehicles': 23, 'averageSpeed': 49.74, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 643082.22, 'startY': 6180548.21, 'endX': 644894.38, 'endY': 6181259.28, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 22, 'averageSpeed': 56.51, 'trafficType': 'slow'}]",2023-11-12T15:01:15.000+0000
4517,[],2023-11-12T15:01:22.000+0000
A5,"[{'direction': 'negative', 'startX': 460289.92, 'startY': 6050384.62, 'endX': 460085, 'endY': 6050120.96, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 108, 'averageSpeed': 77.09, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 460275.51, 'startY': 6050395.77, 'endX': 460085, 'endY': 6050120.96, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 68, 'averageSpeed': 70.03, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
142,"[{'direction': 'negative', 'startX': 530226.04, 'startY': 6080816.2, 'endX': 527461.45, 'endY': 6075872.48, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 45, 'averageSpeed': 57.73, 'trafficType': 'slow'}, {'direction': 'positive', 'startX': 530226.04, 'startY': 6080816.2, 'endX': 527461.45, 'endY': 6075872.48, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 44, 'averageSpeed': 62.72, 'trafficType': 'slow'}]",2023-11-12T15:01:24.000+0000
A6,"[{'direction': 'negative', 'startX': 579462.86, 'startY': 6145139.02, 'endX': 588336.53, 'endY': 6149666.71, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 38, 'averageSpeed': 75.09, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 579462.86, 'startY': 6145139.02, 'endX': 588336.53, 'endY': 6149666.71, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 34, 'averageSpeed': 76.68, 'trafficType': 'heavy'}]",2023-11-12T15:01:14.000+0000
A1,"[{'direction': 'positive', 'startX': 354832.29, 'startY': 6174923.27, 'endX': 346065.66, 'endY': 6177494.98, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 152, 'averageSpeed': 111.67, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 354820.09, 'startY': 6174906.95, 'endX': 346066.34, 'endY': 6177478.05, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 121, 'averageSpeed': 113.49, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
2012,"[{'direction': 'positive', 'startX': 506086.88, 'startY': 6122522.7, 'endX': 505693, 'endY': 6120259, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 506086.88, 'startY': 6122522.7, 'endX': 505693, 'endY': 6120259, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 4, 'averageSpeed': 56.1, 'trafficType': 'heavy'}]",2023-11-12T15:00:27.000+0000
115,"[{'direction': 'negative', 'startX': 552093.82, 'startY': 6121810.91, 'endX': 567406.2, 'endY': 6121260.96, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 30, 'averageSpeed': 89.67, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 552093.82, 'startY': 6121810.91, 'endX': 567406.2, 'endY': 6121260.96, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 13, 'averageSpeed': 82.94, 'trafficType': 'normal'}]",2023-11-12T15:01:11.000+0000
1913,[],2023-11-12T15:01:22.000+0000
A1,"[{'direction': 'negative', 'startX': 492124.01, 'startY': 6089797.02, 'endX': 491398.99, 'endY': 6091425.65, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 492140.38, 'startY': 6089808.47, 'endX': 491417.76, 'endY': 6091433.97, 'winterSpeed': 80, 'summerSpeed': 80, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A6,"[{'direction': 'positive', 'startX': 593673.54, 'startY': 6151776.86, 'endX': 600039.17, 'endY': 6152370.95, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 593673.54, 'startY': 6151776.86, 'endX': 600039.17, 'endY': 6152370.95, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:01:15.000+0000
A10,"[{'direction': 'positive', 'startX': 526259.1, 'startY': 6232836.16, 'endX': 522633.39, 'endY': 6237953.51, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 42, 'averageSpeed': 87.04, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 526259.1, 'startY': 6232836.16, 'endX': 522633.39, 'endY': 6237953.51, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 30, 'averageSpeed': 88.88, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A6,"[{'direction': 'positive', 'startX': 629284.86, 'startY': 6171300.16, 'endX': 640213.92, 'endY': 6178235.97, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 18, 'averageSpeed': 86.96, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 629284.86, 'startY': 6171300.16, 'endX': 640213.92, 'endY': 6178235.97, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 10, 'averageSpeed': 85.8, 'trafficType': 'normal'}]",2023-11-12T15:01:15.000+0000
1416,"[{'direction': 'negative', 'startX': 671295.78, 'startY': 6134659.12, 'endX': 673465.32, 'endY': 6134470.27, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 4, 'averageSpeed': 64.1, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 671295.78, 'startY': 6134659.12, 'endX': 673465.32, 'endY': 6134470.27, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A9,"[{'direction': 'positive', 'startX': 467109.42, 'startY': 6195136.28, 'endX': 462597.22, 'endY': 6198377.71, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 68, 'averageSpeed': 99.75, 'trafficType': 'heavy'}, {'direction': 'negative', 'startX': 467095.38, 'startY': 6195128.48, 'endX': 462587, 'endY': 6198365.03, 'winterSpeed': 120, 'summerSpeed': 110, 'numberOfVehicles': 79, 'averageSpeed': 100.22, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
A10,"[{'direction': 'positive', 'startX': 529171, 'startY': 6220110.22, 'endX': 526259.1, 'endY': 6232836.16, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 51, 'averageSpeed': 84.22, 'trafficType': 'normal'}, {'direction': 'negative', 'startX': 529171, 'startY': 6220110.22, 'endX': 526259.1, 'endY': 6232836.16, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 43, 'averageSpeed': 87.97, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A1,"[{'direction': 'negative', 'startX': 329556.27, 'startY': 6179146.3, 'endX': 324404.59, 'endY': 6177502.86, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 223, 'averageSpeed': 85.63, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 329551, 'startY': 6179162.23, 'endX': 324400.65, 'endY': 6177512.25, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 276, 'averageSpeed': 88.36, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
139,"[{'direction': 'negative', 'startX': 495754.58, 'startY': 6077952.14, 'endX': 491986.5, 'endY': 6073867.5, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 60, 'averageSpeed': 79.65, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 495754.58, 'startY': 6077952.14, 'endX': 491986.5, 'endY': 6073867.5, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 52, 'averageSpeed': 78.95, 'trafficType': 'heavy'}]",2023-11-12T15:01:23.000+0000
A2,"[{'direction': 'negative', 'startX': 577167.54, 'startY': 6070390.18, 'endX': 568973.64, 'endY': 6082385.82, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 324, 'averageSpeed': 101.63, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 577184.33, 'startY': 6070400.92, 'endX': 568990.03, 'endY': 6082396.04, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 114, 'averageSpeed': 102.6, 'trafficType': 'heavy'}]",2023-11-12T15:01:19.000+0000
A5,"[{'direction': 'negative', 'startX': 491182.28, 'startY': 6075065.97, 'endX': 486210.4, 'endY': 6072137.94, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 217, 'averageSpeed': 82.27, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 491173.31, 'startY': 6075083.43, 'endX': 486210.4, 'endY': 6072137.94, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 140, 'averageSpeed': 88.57, 'trafficType': 'normal'}]",2023-11-12T15:00:00.000+0000
A2,"[{'direction': 'negative', 'startX': 578154.59, 'startY': 6068911.98, 'endX': 577167.54, 'endY': 6070390.18, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 506, 'averageSpeed': 77.58, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 578164.37, 'startY': 6068918.84, 'endX': 577184.33, 'endY': 6070400.92, 'winterSpeed': 90, 'summerSpeed': 90, 'numberOfVehicles': 171, 'averageSpeed': 79.67, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
A1,"[{'direction': 'negative', 'startX': 482350.75, 'startY': 6111557.65, 'endX': 475249.27, 'endY': 6119016.56, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 83, 'averageSpeed': 115.42, 'trafficType': 'heavy'}, {'direction': 'positive', 'startX': 482365.03, 'startY': 6111571.54, 'endX': 475263.27, 'endY': 6119030.72, 'winterSpeed': 130, 'summerSpeed': 110, 'numberOfVehicles': 52, 'averageSpeed': 109.54, 'trafficType': 'heavy'}]",2023-11-12T15:00:00.000+0000
4903,"[{'direction': 'negative', 'startX': 589604.25, 'startY': 6140919.75, 'endX': 582013.57, 'endY': 6135890.6, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 0, 'averageSpeed': None, 'trafficType': 'normal'}, {'direction': 'positive', 'startX': 589604.25, 'startY': 6140919.75, 'endX': 582013.57, 'endY': 6135890.6, 'winterSpeed': 70, 'summerSpeed': 70, 'numberOfVehicles': 1, 'averageSpeed': 75.9, 'trafficType': 'normal'}]",2023-11-12T15:00:05.000+0000
