index,Unnamed: 0,Country,Amount of accidents 2020,Amount of accidents 2021
2,2,Lithuania,5.25,6.3
3,4,Switzerland,2.3,2.63
8,11,Poland,5.95,6.57
20,24,Germany,3.08,3.27
7,10,France,4.35,3.76
18,22,Belgium,4.45,4.32
6,9,Italy,4.86,4.03
11,14,Sweden,2.02,1.97
