Year,Month,Visi kelių eismo įvykiai,Dėl neblaivių vairuotojų kaltės
2023,09,339,12
2023,08,291,16
2023,07,280,23
2023,06,338,20
2023,05,290,13
2023,04,206,17
2023,03,184,6
2023,02,143,5
2023,01,170,8
