Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Gaižiūnai 2,124,Kupiškis–Vabalninkas–Biržai,16,2023-11-14,00:00:00,positive,16,102.76,normal,negative,16,93.5,normal
Vileikiai,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,positive,106,92.85,heavy,negative,115,105.23,normal
Vėžaičiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,102,98.22,heavy,negative,83,102.45,heavy
Suginčiai,4903,Utena–Pakalniai–Alanta,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,69.7,normal
Perloja,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,3,91.07,normal,negative,6,84.9,normal
Gaižiūnai,2832,Dūdanosiai–Gačkiškiai–Liudgarda,15,2023-11-14,00:00:00,positive,1,63.4,normal,negative,0,,normal
Juodeikiai,219,Bugeniai–Pikeliai,15,2023-11-14,00:00:00,negative,16,87.46,normal,positive,19,84.96,normal
Čeberakai,177,Visaginas–Ignalinos AE,16,2023-11-14,00:00:00,negative,7,90.61,normal,positive,9,86.54,normal
Švendubrė,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,6,80.85,heavy,negative,4,79.68,heavy
Bliuviškiai,137,Pilviškiai–Šakiai–Jurbarkas,15,2023-11-14,00:00:00,positive,12,86.6,normal,negative,17,84.06,normal
Barčiai,127,Babriškės–Varėna–Eišiškės,15,2023-11-14,00:00:00,positive,27,72.43,heavy,negative,19,72.77,heavy
Mažoji Senažiškė,183,Ąžuolų Būda–Kazlų Rūda,15,2023-11-14,00:00:00,positive,38,74.7,normal,negative,26,74.1,heavy
Tautušiai,225,Raseiniai–Baisogala,15,2023-11-14,00:00:00,negative,12,101.97,normal,positive,7,90.71,normal
Verpena,158,Kelmė–Užventis,15,2023-11-14,00:00:00,positive,7,82.31,heavy,negative,12,80.81,heavy
Vandžiogala,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,negative,77,80.39,heavy,positive,63,83.91,heavy
Žvirgždėnai,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,negative,50,82.72,normal,positive,54,85.75,normal
Dybakalnis,2637,Privažiuojamasis kelias prie Patašinės nuo kelio Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Vainatrakis 2,1913,Rokeliai–Vainatrakis–Pakuonis,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Paberžis,A2,Vilnius–Panevėžys,14,2023-11-14,00:00:00,positive,65,92.44,slow,negative,84,91.26,heavy
Nemėžis,A3,Vilnius–Minskas,15,2023-11-14,00:00:00,negative,150,83.14,normal,positive,107,88.48,normal
Tvirai,192,Skapiškis–Pandėlys,14,2023-11-14,00:00:00,positive,3,64.2,slow,negative,1,64.7,slow
Gumiltėnai,2111,Ramučiai–Vidsodis–Luokė,15,2023-11-14,00:00:00,positive,2,59.85,heavy,negative,0,,normal
Mūšia,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,positive,64,53.21,slow,negative,53,49.26,slow
Jaščiūnai,A15,Vilnius–Lyda,14,2023-11-14,00:00:00,negative,44,82.77,normal,positive,33,83.62,normal
Ąžuolpamūšė,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Trumpaičiai,1610,Dargiai–Jankūnai–Martyniškiai,15,2023-11-14,00:00:00,negative,2,74.2,normal,positive,1,76.6,normal
Algeniai,3515,Algeniai–Stulgiai–Kirkliai,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,72.4,normal
Neveronys,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Alvitas,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,30,61.89,normal,negative,61,62.03,normal
Gustonys,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Kryžkalnis,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,84,106.65,heavy,negative,81,102.93,heavy
Viburiai,3009,Nauradai–Sujetai–Sinkonys,15,2023-11-14,00:00:00,positive,2,51.25,slow,negative,1,64.5,normal
Pagojys I,4512,Skaudvilė–Adakavas–Nemakščiai,15,2023-11-14,00:00:00,positive,0,,normal,negative,5,60.12,heavy
Bubiai 2,215,Bubiai–Ramučiai,15,2023-11-14,00:00:00,positive,16,71.46,heavy,negative,26,73.96,heavy
Baubliai,4818,Rečionys–Obeliai,15,2023-11-14,00:00:00,negative,2,42.5,slow,positive,1,30.9,slow
Kuršeliai,2219,Kretingalė–Plikiai–Smilgynai,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Veiveriai,230,Mauručiai–Vinčai–Puskelniai,15,2023-11-14,00:00:00,positive,22,78.27,heavy,negative,32,83.13,normal
Škėvonys,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,positive,90,82.4,heavy,negative,88,78.67,heavy
Ražiškiai,139,Kauno HE–Garliava,15,2023-11-14,00:00:00,positive,72,78.21,heavy,negative,108,79.25,heavy
Vydmantai,A13,Klaipėda–Liepoja,10,2023-11-14,00:00:00,positive,38,81.29,normal,negative,28,92.86,normal
Vijoliai,A11,Šiauliai–Palanga,15,2023-11-14,00:00:00,positive,72,71.92,normal,negative,61,76.43,normal
Antakalnis I,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,positive,100,108.22,heavy,negative,107,102.08,heavy
Rutka,130,Kaunas–Prienai–Alytus,15,2023-11-14,00:00:00,negative,41,84.87,normal,positive,70,85.6,normal
Jadvygiškiai,A14,Vilnius–Utena,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Senkiškiai,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,positive,66,84.28,heavy,negative,70,78.0,heavy
Galmenai,4524,Tauragė–Norkaičiai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Kvėdarna,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,90,100.5,heavy,negative,70,106.31,heavy
Gaudikaičiai,A11,Šiauliai–Palanga,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Skrudėnai,108,Vievis–Maišiagala–Nemenčinė,15,2023-11-14,00:00:00,positive,26,72.52,heavy,negative,14,81.64,normal
Mitkūnai,1611,Plikiškiai–Kriukai,15,2023-11-14,00:00:00,negative,1,89.7,normal,positive,2,89.85,normal
Giraitė,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,348,94.88,normal,positive,243,98.02,normal
Karašilis,2911,Karašilis–Derveliai–Alksniupiai–Šeduva,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Lupenka,102,Vilnius–Švenčionys–Zarasai,15,2023-11-14,00:00:00,negative,13,89.84,normal,positive,24,87.58,normal
Smėlynė,A6,Kaunas–Zarasai–Daugpilis,14,2023-11-14,00:00:00,negative,13,61.12,slow,positive,10,50.05,normal
Vilijampolė,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,positive,794,88.59,normal,negative,340,80.81,normal
Aleksandrija,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,36,52.79,heavy,positive,69,50.43,heavy
Daubariai,204,Mažeikių aplinkkelis,15,2023-11-14,00:00:00,positive,23,73.47,heavy,negative,19,72.59,heavy
Pesčiai,226,Kartena–Kūlupėnai–Salantai,15,2023-11-14,00:00:00,positive,13,88.57,normal,negative,13,86.5,normal
Kurys 2,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,negative,73,85.08,normal,positive,61,85.11,normal
Gaigaliai,175,Pagojė–Sedeikiai–Viešintos–Nociūnai,14,2023-11-14,00:00:00,negative,6,97.22,normal,positive,9,89.3,normal
Meištai,1912,Rupinai–Griškabūdis–Kudirkos Naumiestis,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,67.9,normal
Bingeliai,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,negative,38,87.12,normal,positive,24,86.47,normal
Pikelionys,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,positive,23,81.81,normal,negative,35,82.36,normal
Kloviškiai,5316,Baibiai–Kloviškiai–Vajasiškis,15,2023-11-14,00:00:00,positive,1,88.6,normal,negative,0,,normal
Paupynis,1703,Eržvilkas–Mosteikiai–Nemakščiai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Kalnujai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Kirtimai I,A19,Vilniaus pietinis aplinkkelis,15,2023-11-14,00:00:00,negative,265,85.83,normal,positive,389,85.23,normal
Latava,175,Pagojė–Sedeikiai–Viešintos–Nociūnai,15,2023-11-14,00:00:00,positive,14,76.96,normal,negative,11,77.72,normal
Žvirzdaliai,3206,Plungė–Medingėnai,15,2023-11-14,00:00:00,negative,4,63.25,normal,positive,2,79.75,normal
Narezkai,214,Trakai–Senieji Trakai,16,2023-11-14,00:00:00,negative,25,65.2,normal,positive,20,65.81,normal
Puskelniai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,positive,157,93.96,normal,negative,207,83.93,normal
Klovainių gatvė,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,414,93.38,normal,positive,543,88.24,normal
Skaidiškės,A3,Vilnius–Minskas,15,2023-11-14,00:00:00,negative,46,82.26,normal,positive,38,81.02,normal
Naudžiai,187,Gižai–Pilviškiai,15,2023-11-14,00:00:00,negative,10,94.73,normal,positive,21,96.46,normal
Kušliškiai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Mikailiškis,116,Širvintos–Rimučiai–Kernavė–Dūkštos,15,2023-11-14,00:00:00,positive,9,91.18,normal,negative,11,92.15,normal
Tartokas 2,A15,Vilnius–Lyda,14,2023-11-14,00:00:00,negative,13,59.38,slow,positive,9,56.49,slow
Pasvalys,205,Pasvalio aplinkkelis,16,2023-11-14,00:00:00,positive,14,68.14,heavy,negative,12,76.48,heavy
