Location,Road,Road_Name,Time_Interval,Date,Time,Direction_Negative,Number_of_Vehicles,Average_Speed,Traffic_Type,Direction_Positive,Number_of_Vehicles,Average_Speed,Traffic_Type
Gargždai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,positive,139,89.56,slow,negative,124,87.15,slow
Aleksandrava,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,positive,49,83.71,normal,negative,47,83.76,normal
Virbalis,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,negative,46,78.28,normal,positive,33,80.6,normal
Gedėliškė,4104,Šilalė–Didkiemis,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Eigirgala,222,Kaunas–Vandžiogala,15,2023-11-14,00:00:00,positive,7,69.81,heavy,negative,7,68.14,heavy
Alksninė,172,Raudondvaris–Giedraičiai–Molėtai,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Garliava,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,212,83.92,normal,positive,153,89.19,normal
Liepona,A7,Marijampolė–Kybartai–Kaliningradas,15,2023-11-14,00:00:00,negative,9,34.86,slow,positive,5,30.72,slow
Antapusinis,3508,Viduklės g. st.–Plačiuva–Paupys,15,2023-11-14,00:00:00,positive,1,96.6,normal,negative,0,,normal
Avietinė,104,Šalčininkai–Dieveniškės–Krakūnai ,15,2023-11-14,00:00:00,positive,1,69.3,heavy,negative,0,,normal
Gojus,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,266,99.94,heavy,positive,265,103.13,heavy
Onupis,1922,Raudondvaris–Naujieji Bernatoniai–Žemaitkiemis,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Lyta,103,Vilnius–Polockas,15,2023-11-14,00:00:00,negative,59,66.84,normal,positive,37,51.1,slow
Paprėniškiai,115,Ukmergė–Molėtai,15,2023-11-14,00:00:00,negative,16,87.66,normal,positive,27,85.07,normal
Pakalniškiai,3403,Šilėnai–Sidariai–Šiaulėnai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Kemetiškiai,114,Molėtai–Kaltanėnai–Ignalina,15,2023-11-14,00:00:00,negative,8,75.64,heavy,positive,14,73.01,heavy
Ilgakiemis,1832,Ilgakiemis–Kasčiukiškės,15,2023-11-14,00:00:00,negative,4,73.75,normal,positive,0,,normal
Draudeniai,4517,Sartininkai–Draudeniai,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Mantigailiai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,135,106.92,heavy,positive,137,109.43,heavy
Ginkūnai,213,Aleksandrija–Ginkūnai,15,2023-11-14,00:00:00,negative,44,48.58,slow,positive,41,49.61,slow
Baukštininkai,217,Klaipėda–Jokūbavas,15,2023-11-14,00:00:00,positive,19,72.99,heavy,negative,23,72.07,heavy
Naujasodžiai 1,A16,Vilnius–Prienai–Marijampolė,15,2023-11-14,00:00:00,positive,61,56.17,normal,negative,55,57.68,normal
Daunoriškė,1607,Joniškis–Vaineikiai–Šarkiai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Endriejavas,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,82,104.81,heavy,positive,102,95.93,slow
Kapitoniškės,188,Rumšiškės–Tadarava,15,2023-11-14,00:00:00,negative,13,82.78,normal,positive,16,88.41,normal
Ščebnica,142,Kaišiadorys–Žiežmariai,15,2023-11-14,00:00:00,negative,55,56.97,slow,positive,65,58.08,slow
Raistas,2012,Šėta–Beinaičiai–Nociūnai,15,2023-11-14,00:00:00,positive,0,,normal,negative,1,11.2,queuing
WIM į Vilnių,A1,Vilnius–Kaunas–Klaipėda,3,2022-04-06,00:00:00,,0,0.0,0,,0,0.0,0
Babtai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,135,103.49,heavy,positive,162,105.39,heavy
Trakėnai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,55,79.84,heavy,positive,76,68.13,heavy
Norkaičiai,4521,Skaudvilė–Gervėčiai,15,2023-11-14,00:00:00,negative,0,,normal,positive,0,,normal
Šniūraičiai,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,positive,89,92.59,heavy,negative,98,91.3,heavy
Žilpamūšis,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,negative,23,87.33,normal,positive,51,82.56,normal
Jurgėnai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,negative,68,82.14,normal,positive,71,85.8,normal
Didysis Pirčiupys,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,positive,48,72.41,heavy,negative,46,69.73,heavy
Skriaudžiai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,negative,40,106.88,normal,positive,107,93.73,normal
Juodbūdis,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,positive,109,94.03,normal,negative,49,113.79,normal
Paliesius,1408,Mikalavas–Paringys–Bernotai–Gilūtos,15,2023-11-14,00:00:00,negative,1,70.5,normal,positive,2,64.25,normal
Pavartyčiai,A9,Panevėžys–Šiauliai,15,2023-11-14,00:00:00,positive,77,85.01,normal,negative,82,88.29,normal
Praščiūnai,3406,Šeduvos g. st.–Vadaktai–Krekenava,15,2023-11-14,00:00:00,,0,0.0,0,,0,0.0,0
Daržiniai,A6,Kaunas–Zarasai–Daugpilis,15,2023-11-14,00:00:00,negative,33,107.84,normal,positive,77,98.37,normal
Antanuvka,1218,Kavarskas–Kurkliai,15,2023-11-14,00:00:00,positive,1,59.8,heavy,negative,2,65.2,normal
Kaziuliai,180,Druskininkai–Leipalingis–Seirijai,15,2023-11-14,00:00:00,negative,25,91.5,normal,positive,37,96.18,normal
Molainiai,A17,Panevėžio aplinkkelis,15,2023-11-14,00:00:00,negative,27,81.91,normal,positive,71,73.74,heavy
Vejukai,A1,Vilnius–Kaunas–Klaipėda,15,2023-11-14,00:00:00,negative,79,103.77,heavy,positive,108,102.41,heavy
Šilinė,114,Molėtai–Kaltanėnai–Ignalina,15,2023-11-14,00:00:00,positive,18,69.19,normal,negative,10,74.15,normal
Timsriai,4226,Usėnai–Natkiškiai–Griežpelkiai I,15,2023-11-14,00:00:00,negative,0,,normal,positive,1,58.9,heavy
Šilainėliai,A8,Panevėžys–Aristava–Sitkūnai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Šalnaičiai,A10,Panevėžys–Pasvalys–Ryga,15,2023-11-14,00:00:00,positive,35,86.4,normal,negative,25,87.91,normal
Ratnyčia,A4,Vilnius–Varėna–Gardinas,15,2023-11-14,00:00:00,negative,5,76.02,heavy,positive,12,73.23,heavy
Pūkiai,3014,Gegužinė–Puodžiūnai–Sereikoniai,15,2023-11-14,00:00:00,positive,1,65.3,normal,negative,0,,normal
Ukmergės miestas,115,Ukmergė–Molėtai,14,2023-11-14,00:00:00,negative,10,35.18,slow,positive,21,34.89,slow
Mokolai,A5,Kaunas–Marijampolė–Suvalkai,15,2023-11-14,00:00:00,positive,0,,normal,negative,0,,normal
Stirniai,114,Molėtai–Kaltanėnai–Ignalina,16,2023-11-14,00:00:00,negative,7,56.24,normal,positive,7,58.79,normal
Vabolės,162,Laukuva–Šilalė,15,2023-11-14,00:00:00,negative,24,76.0,heavy,positive,28,80.51,heavy
Maldeniai,4012,Drąsučiai–Šiupyliai–Gruzdžiai,15,2023-11-14,00:00:00,negative,1,91.1,normal,positive,1,54.4,heavy
Maksimonys,112,Ignalina–Didžiasalis,15,2023-11-14,00:00:00,negative,9,92.82,normal,positive,11,77.45,heavy
Rokiškis,122,Daugpilis–Rokiškis–Panevėžys,14,2023-11-14,00:00:00,negative,24,95.52,normal,positive,13,82.5,normal
Juknonys,1831,Pakertai–Juknionys,15,2023-11-14,00:00:00,positive,1,76.8,normal,negative,2,36.25,slow
Ežeraitis,A2,Vilnius–Panevėžys,15,2023-11-14,00:00:00,negative,153,103.77,normal,positive,175,109.71,heavy
Palkabalis,5014,Varėna–Rudnia–Katra,15,2023-11-14,00:00:00,negative,1,84.1,normal,positive,2,46.95,slow
Butrimonys,3305,Stakliškės–Butrimonys,15,2023-11-14,00:00:00,positive,3,70.13,normal,negative,1,46.0,slow
